ar,cs,de,en,es,fa,fr,he,hi,id,it,ja,ko,nl,pl,pt,ru,sv,tr,uk,ur,zh
نيويورك,New York,New York City,New York City,Nueva York,نیویورک,New York,ניו יורק,न्यूयॉर्क नगर,Kota New York,New York,ニューヨーク,뉴욕,New York City,Nowy Jork,Nova Iorque,Нью-Йорк,New York,New York,Нью-Йорк,نیویارک شہر,纽约
بنغالور,Bengalúru,Bangalore,Bangalore,Bangalore,بنگلور,Bangalore,בנגלור,बंगलौर,Bengaluru,Bangalore,バンガロール,벵갈루루,Bangalore,Bengaluru,Bangalore,Бангалор,Bangalore,Bangalore,Бенґалуру,بنگلور,班加羅爾
لندن,Londýn,London,London,Londres,لندن,Londres,לונדון,लंदन,London,Londra,ロンドン,런던,Londen,Londyn,Londres,Лондон,London,Londra,Лондон,لندن,伦敦
بانكوك,Bangkok,Bangkok,Bangkok,Bangkok,بانکوک,Bangkok,בנגקוק,बैंकॉक,Bangkok,Bangkok,バンコク,방콕,Bangkok,Bangkok,Banguecoque,Бангкок,Bangkok,Bangkok,Бангкок,بنکاک,曼谷
دونغقوان,Tung-kuan,Dongguan,Dongguan,Dongguan,دونگوان,Dongguan,דונגגוואן,डोंग्गूआन,Dongguan,Dongguan,東莞市,둥관 시,Dongguan,Dongguan,Dongguan,Дунгуань,Dongguan,Dongguan,Дунґуань,ڈونگگوان,东莞市
تشونغتشينغ,Čchung-čching,Chongqing,Chongqing,Chongqing,چونگ‌کینگ,Chongqing,צ'ונגצ'ינג,चोंग्किंग,Chongqing,Chongqing,重慶市,충칭 시,Chongqing,Chongqing,Chongqing,Чунцин,Chongqing,Çongçing,Чунцін,چونگ چنگ,重庆市
نانجينغ,Nanking,Nanjing,Nanjing,Nankín,نانجینگ,Nankin,נאנג'ינג,नानजिंग,Nanjing,Nanchino,南京市,난징 시,Nanking,Nankin,Nanquim,Нанкин,Nanjing,Nankin,Нанкін,نانجنگ,南京市
طهران,Teherán,Teheran,Tehran,Teherán,تهران,Téhéran,טהראן,तेहरान,Teheran,Teheran,テヘラン,테헤란,Teheran,Teheran,Teerã,Тегеран,Teheran,Tahran,Тегеран,تہران,德黑兰
شنيانغ,Šen-jang,Shenyang,Shenyang,Shenyang,شن‌یانگ,Shenyang,שן-יאנג,शेनयांग,Shenyang,Shenyang,瀋陽市,선양 시,Shenyang,Shenyang,Shenyang,Шэньян,Shenyang,Shenyang,Шеньян,شینیانگ,沈阳市
بوغوتا,Bogotá,Bogotá,Bogotá,Bogotá,بوگوتا,Bogota,בוגוטה,बोगोटा,Bogotá,Bogotá,ボゴタ,보고타,Bogota (stad),Bogota,Bogotá,Богота,Bogotá,Bogotá,Богота,بوگوتا,波哥大
مدينة هو تشي منه,Ho Či Minovo Město,Ho-Chi-Minh-Stadt,Ho Chi Minh City,Ciudad Ho Chi Minh,هوشی‌مین (شهر),Hô-Chi-Minh-Ville,הו צ'י מין סיטי,हो ची मिन्ह शहर,Kota Hồ Chí Minh,Ho Chi Minh (città),ホーチミン市,호찌민 시,Ho Chi Minhstad,Ho Chi Minh (miasto),Cidade de Ho Chi Minh,Хошимин,Ho Chi Minh-staden,Ho Chi Minh Kenti,Хошимін,ہو چی من,胡志明市
نينغبو,Ning-po,Ningbo,Ningbo,Ningbó,نانگبو,Ningbo,,,Ningbo,Ningbo,寧波市,닝보 시,Ningbo,Ningbo,Ningbo,Нинбо,Ningbo,Ningbo,Нінбо,ننگبو,宁波市
هونغ كونغ,Hongkong,Hongkong,Hong Kong,Hong Kong,هنگ کنگ,Hong Kong,הונג קונג,हॉन्ग कॉन्ग,Hong Kong,Hong Kong,香港,홍콩,Hongkong,Hongkong,Hong Kong,Гонконг,Hongkong,Hong Kong,Гонконг,ہانگ کانگ,香港
بغداد,Bagdád,Bagdad,Baghdad,Bagdad,بغداد,Bagdad,בגדאד,बग़दाद,Bagdad,Baghdad,バグダード,바그다드,Bagdad,Bagdad,Bagdá,Багдад,Bagdad,Bağdat,Багдад,بغداد,巴格达
تشانغشا,Čchang-ša,Changsha,Changsha,Changsha,چانگشا,Changsha,,चांगशा,Changsha,Changsha,長沙市,창사 시,Changsha,Changsha,Changsha,Чанша,Changsha,Changsha,Чанша,چانگشا,长沙市
دكا,Dháka,Dhaka,Dhaka,Daca,داکا,Dacca,דאקה,ढाका,Dhaka,Dacca,ダッカ,다카,Dhaka (stad),Dhaka,Daca,Дакка,Dhaka,Dakka,Дакка,ڈھاکہ,达卡
ووهان,Wu-chan,Wuhan,Wuhan,Wuhan,ووهان,Wuhan,ווהאן,वूहान,Wuhan,Wuhan,武漢市,우한 시,Wuhan,Wuhan,Wuhan,Ухань,Wuhan,Vuhan,Ухань,ووہان,武汉市
حيدر آباد,Hajdarábád,Hyderabad (Indien),Hyderabad,Hyderabad (India),حیدرآباد (هند),Hyderabad,היידראבאד,हैदराबाद,Hyderabad,Hyderabad,ハイデラバード,하이데라바드 (인도),Haiderabad (Telangana),Hajdarabad (Indie),Hyderabad (Andhra Pradesh),Хайдарабад (Индия),Hyderabad,"Haydarabad, Hindistan",Хайдерабад (Індія),حیدرآباد، دکن,海得拉巴 (印度)
هانوي,Hanoj,Hanoi,Hanoi,Hanói,هانوی,Hanoï,האנוי,हनोई,Hanoi,Hanoi,ハノイ,하노이,Hanoi,Hanoi,Hanói,Ханой,Hanoi,Hanoi,Ханой,ہنوئی,河內市
فيصل آباد,,Faisalabad,Faisalabad,Faisalabad,فیصل‌آباد,Faisalabad,פייסלאבאד,फ़ैसलाबाद,Faisalabad,Faisalabad,ファイサラーバード,파이살라바드,Faisalabad,Fajsalabad,Faisalabad,Фейсалабад,Faisalabad,Faysalabad,Фейсалабад,فیصل آباد,费萨拉巴德
ريو دي جانيرو,Rio de Janeiro,Rio de Janeiro,Rio de Janeiro,Río de Janeiro,ریو دو ژانیرو,Rio de Janeiro,ריו דה ז'ניירו,रियो डि जेनेरो,Rio de Janeiro,Rio de Janeiro,リオデジャネイロ,리우데자네이루,Rio de Janeiro (stad),Rio de Janeiro,Rio de Janeiro (cidade),Рио-де-Жанейро,Rio de Janeiro,Rio de Janeiro,Ріо-де-Жанейро,ریو دے جینیرو,里约热内卢
فوشان,Fo-šan,Foshan,Foshan,Foshan,فوشان,Foshan,,,Foshan,Foshan,仏山市,포산 시,Foshan,Foshan,Foshan,Фошань,Foshan,Foshan,Фошань,فوشان,佛山市
سانتياغو,Santiago de Chile,Santiago de Chile,Santiago,Santiago de Chile,سانتیاگو,Santiago,סנטיאגו דה צ'ילה,सानतिआगो,Santiago de Chile,Santiago del Cile,サンティアゴ (チリ),산티아고,Santiago (Chili),Santiago (Chile),Santiago (Chile),Сантьяго,Santiago de Chile,"Santiago, Şili",Сантьяго,سینٹیاگو، چلی,圣地亚哥-德智利
الرياض,Rijád,Riad,Riyadh,Riad,ریاض,Riyad,ריאד,रियाद,Riyadh,Riyad,リヤド,리야드,Riyad (stad),Rijad,Riade,Эр-Рияд,Riyadh,Riyad,Ер-Ріяд,ریاض,利雅德
أحمد آباد,Ahmadábád,Ahmedabad,Ahmedabad,Ahmedabad,احمدآباد (هند),Ahmedabad,אחמדאבאד,अहमदाबाद,Ahmedabad,Ahmedabad,アフマダーバード,아마다바드,Ahmedabad (stad),Ahmadabad,Ahmedabad,Ахмадабад,Ahmedabad,Ahmedabad,Ахмедабад,احمد آباد,艾哈迈达巴德
سنغافورة,Singapur,Singapur,Singapore,Singapur,سنگاپور,Singapour,סינגפור,सिंगापुर,Singapura,Singapore,シンガポール,싱가포르,Singapore,Singapur,Singapura,Сингапур,Singapore,Singapur,Сінгапур,سنگاپور,新加坡
شانتو,Šan-tchou,Shantou,Shantou,Shantou,شانتو,Shantou,,,Shantou,Shantou,汕頭市,산터우 시,Shantou,Shantou,Shantou,Шаньтоу,Shantou,Shantou,Шаньтоу,شانتو,汕头市
يانغون,Rangún,Rangun,Yangon,Rangún,یانگون,Rangoun,יאנגון,यांगून,Yangon,Yangon,ヤンゴン,양곤,Rangoon (stad),Rangun,Rangum,Янгон,Rangoon,Yangon,Янгон,یانگون,仰光
سانت بطرسبرغ,Petrohrad,Sankt Petersburg,Saint Petersburg,San Petersburgo,سن پترزبورگ,Saint-Pétersbourg,סנקט פטרבורג,सेंट पीटर्सबर्ग,Sankt-Peterburg,San Pietroburgo,サンクトペテルブルク,상트페테르부르크,Sint-Petersburg,Petersburg,São Petersburgo,Санкт-Петербург,Sankt Petersburg,Sankt Peterburg,Санкт-Петербург,سینٹ پیٹرز برگ,圣彼得堡
أنقرة,Ankara,Ankara,Ankara,Ankara,آنکارا,Ankara,אנקרה,अंकारा,Ankara,Ankara,アンカラ,앙카라,Ankara,Ankara,Ancara,Анкара,Ankara,Ankara,Анкара,انقرہ,安卡拉
